country,c1_security_apparatus,c2_factionalized_elites,c3_group_grievance,e1_economy,e2_economic_inequality,e3_human_flight_and_brain_drain,p1_state_legitimacy,p2_public_services,p3_human_rights,s1_demographic_pressures,s2_refugees_and_idps,x1_external_intervention
Afghanistan,0.047056426398962126,0.04692570786704802,0.08492396737313095,0.061248249005229224,0.0443638124115764,0.06912213410560179,0.04579889981963796,0.07575201884963526,0.05187694221646671,0.04203716329429578,0.03921231944276374,0.0821494670599647
Albania,0.07526220449436007,0.07812088772800979,0.11746967817892674,0.08565812846088874,0.2978653181542152,0.07646097538331151,0.12154563082594912,0.19436513014856655,0.17030331535945986,0.22992674038003963,0.10549556024748787,0.07009478956778292
Algeria,0.08918109394935393,0.07015914308685749,0.05835544676083376,0.1919122160791869,0.1110731159908155,0.06816090634972002,0.04357688126810498,0.11561147465496417,0.07264403183997148,0.12230793240043779,0.048617157283111556,0.1778029452434851
Angola,0.06847584163664518,0.03421473062373255,0.1270788255077554,0.24056401559171584,0.0383119354507149,0.09396688977247016,0.032958046699946696,0.06681201059190024,0.07395434308121455,0.04071000895998433,0.11210556155326323,0.19262437450228367
Antigua and Barbuda,0.06696340517876981,0.08530044850364504,0.11752901326635126,0.16348313619143115,0.17673410405234238,0.10055062503259404,0.15130539236066207,0.11022195421347229,0.11299913714302043,0.09520574519444731,0.12058994706803161,0.052144019337025976
Argentina,0.3301618957439913,0.048567780203516195,0.13038714701117865,0.18276111469080977,0.07515550462161366,0.14848613156274207,0.1304905975200034,0.0999036129448336,0.10909011685194601,0.1854693617562144,0.17167667004801346,0.16071791896405074
Armenia,0.07288813109008285,0.07554013138855342,0.06821362294667499,0.08794145228094094,0.24289041296136527,0.06655244965173253,0.06397328794350722,0.2359639226490751,0.0793007279530592,0.28460665733928064,0.0540252670077731,0.08397424671597652
Australia,0.34278220924844877,0.053040799528610974,0.11677374097678365,0.2601918390664945,0.3499796752775093,0.32846965115759574,0.35176563467797517,0.2563620630142869,0.15405524800593481,0.3584849635429989,0.19795794589663362,0.3460560335354399
Austria,0.220360551123977,0.1835747266106419,0.11169183421507213,0.19222616353975672,0.3058195160394248,0.19247609089582066,0.2776296631950354,0.23327948095512097,0.41329724557796627,0.26067767878817716,0.4197731971782686,0.5541568364257445
Azerbaijan,0.07988201130756292,0.019252374973735425,0.10764444854644425,0.16801335794695038,0.15535653402431043,0.11783713210717778,0.059561687304890455,0.08355917362187522,0.0982851660826094,0.18098047565354788,0.07317272966080378,0.07605114499728233
